,Country,Basic,Currency,Price USD,# of TV Shows,# of Movies,Total Library Size,Price per Title,% Difference (Cost per Month) to Average,% Difference (Cost Per Month) to Most Expensive,% Difference (Cost Per Month) to Cheapest,% Difference (Cost per Title) to Average,% Difference (Cost per Title)  to Most Expensive,% Difference (Cost per Title)  to Cheapest,country code
0,Turkey,26.99,TRY,1.97,2930,1709,4639,0.00043,123.76,146.85,0.0,118.52,163.41,0.0,TUR
1,India,199.0,INR,2.64,3718,2125,5843,0.00045,104.19,131.97,-28.87,114.56,161.37,-6.0,IND
2,Argentina,379.0,ARS,3.74,3154,1606,4760,0.00079,76.63,110.04,-61.77,71.72,137.32,-59.43,ARG
3,Colombia,16900.0,COP,4.31,3156,1835,4991,0.00086,64.12,99.69,-74.39,63.26,132.11,-68.01,COL
4,Brazil,25.9,BRL,4.61,3162,1810,4972,0.00093,58.0,94.53,-80.14,56.77,127.99,-74.24,BRA
5,Ukraine,4.99,EUR,5.64,3261,2075,5336,0.00106,39.16,78.25,-96.26,44.64,120.02,-85.15,UKR
6,South Africa,99.0,ZAR,6.26,3686,2050,5736,0.00109,29.04,69.24,-104.07,41.59,117.95,-87.75,ZAF
7,Hungary,2490.0,HUF,7.64,4802,2082,6884,0.0011099999999999999,9.21,51.04,-117.91,39.88,116.78,-89.18,HUN
8,Philippines,369.0,PHP,7.35,4154,2208,6362,0.00115,13.18,54.75,-115.28,36.11,114.17,-92.28,PHL
9,United Kingdom,5.99,GBP,7.91,4551,2092,6643,0.00119,5.74,47.78,-120.15,33.07,112.04,-94.73,GBR
10,Czech Republic,199.0,CZK,8.83,5234,2091,7325,0.00121,-5.18,37.35,-126.9,31.95,111.25,-95.62,CZE
11,Peru,24.9,PEN,6.11,3155,1831,4986,0.00122,31.4,71.35,-102.3,30.36,110.12,-96.87,PER
12,Canada,9.99,CAD,7.91,4311,1928,6239,0.0012699999999999999,5.83,47.86,-120.1,27.02,107.72,-99.46,CAN
13,Australia,10.99,AUD,7.84,4050,2064,6114,0.00128,6.72,48.71,-119.52,25.92,106.92,-100.31,AUS
14,Slovakia,7.99,EUR,9.03,5055,1980,7035,0.00128,-7.4,35.21,-128.22,25.82,106.85,-100.38,SVK
15,Mexico,139.0,MXN,6.62,3158,1835,4993,0.00133,23.49,64.22,-108.12,22.59,104.49,-102.82,MEX
16,Bulgaria,7.99,EUR,9.03,4819,1978,6797,0.00133,-7.4,35.21,-128.22,22.43,104.37,-102.93,BGR
17,Ireland,7.99,EUR,9.03,4515,1971,6486,0.00139,-7.4,35.21,-128.22,17.8,100.92,-106.33,IRL
18,Malaysia,35.0,MYR,8.29,3565,2387,5952,0.00139,1.17,43.44,-123.03,17.77,100.9,-106.35,MYS
19,Poland,29.0,PLN,7.13,3512,1597,5109,0.0014,16.08,57.43,-113.32,17.45,100.66,-106.58,POL
20,Lithuania,7.99,EUR,9.03,4490,1972,6462,0.0014,-7.4,35.21,-128.22,17.43,100.65,-106.6,LTU
21,Estonia,7.99,EUR,9.03,4486,1970,6456,0.0014,-7.4,35.21,-128.22,17.34,100.58,-106.67,EST
22,Latvia,7.99,EUR,9.03,4479,1971,6450,0.0014,-7.4,35.21,-128.22,17.24,100.51,-106.73,LVA
23,Iceland,7.99,EUR,9.03,4426,1961,6387,0.00141,-7.4,35.21,-128.22,16.27,99.77,-107.43,ISL
24,Chile,5940.0,CLP,7.07,3156,1838,4994,0.0014199999999999998,16.95,58.23,-112.72,16.06,99.61,-107.58,CHL
25,Russia,599.0,RUB,8.13,3624,2087,5711,0.0014199999999999998,3.08,45.26,-121.84,15.56,99.24,-107.94,RUS
26,New Zealand,12.99,NZD,8.8,4003,2081,6084,0.00145,-4.9,37.62,-126.74,13.92,97.99,-109.1,NZL
27,Gibraltar,7.99,EUR,9.03,4079,2088,6167,0.00146,-7.4,35.21,-128.22,12.78,97.12,-109.9,GIB
28,Singapore,12.98,SGD,9.51,4109,2194,6303,0.00151,-12.64,30.09,-131.26,9.72,94.75,-112.03,SGP
